Alignment_name	Locus_type
SISRS_contig-5086000010.fasta	unannotated
SISRS_contig-12886000008.fasta	unannotated
SISRS_contig-773000018.fasta	unannotated
SISRS_contig-14963000014.fasta	unannotated
SISRS_contig-14055000013.fasta	unannotated
SISRS_contig-13411000000.fasta	unannotated
SISRS_contig-1625000005.fasta	unannotated
SISRS_contig-9347000008.fasta	unannotated
SISRS_contig-11169000011.fasta	unannotated
SISRS_contig-9804000000.fasta	unannotated
SISRS_contig-11049000004.fasta	unannotated
SISRS_contig-11025000004.fasta	unannotated
SISRS_contig-13605000014.fasta	unannotated
SISRS_contig-10605000005.fasta	unannotated
SISRS_contig-10035000000.fasta	unannotated
SISRS_contig-16870000015.fasta	unannotated
SISRS_contig-8934000010.fasta	unannotated
SISRS_contig-4198000009.fasta	unannotated
SISRS_contig-3300000016.fasta	unannotated
SISRS_contig-341000018.fasta	unannotated
SISRS_contig-14673000018.fasta	unannotated
SISRS_contig-12528000001.fasta	unannotated
SISRS_contig-7232000003.fasta	unannotated
SISRS_contig-13591000007.fasta	unannotated
SISRS_contig-15485000015.fasta	unannotated
SISRS_contig-1558000012.fasta	unannotated
SISRS_contig-13165000015.fasta	unannotated
SISRS_contig-4134000007.fasta	unannotated
SISRS_contig-9528000017.fasta	unannotated
SISRS_contig-7159000005.fasta	unannotated
SISRS_contig-3177000013.fasta	unannotated
SISRS_contig-15313000019.fasta	unannotated
SISRS_contig-10958000010.fasta	unannotated
SISRS_contig-4878000008.fasta	unannotated
SISRS_contig-16084000000.fasta	unannotated
SISRS_contig-3053000004.fasta	unannotated
SISRS_contig-7868000011.fasta	unannotated
SISRS_contig-8914000006.fasta	unannotated
SISRS_contig-5421000001.fasta	unannotated
SISRS_contig-9165000014.fasta	unannotated
SISRS_contig-6110000015.fasta	unannotated
SISRS_contig-7472000010.fasta	unannotated
SISRS_contig-16923000014.fasta	unannotated
SISRS_contig-987000005.fasta	unannotated
SISRS_contig-17128000010.fasta	unannotated
SISRS_contig-13699000019.fasta	unannotated
SISRS_contig-5065000001.fasta	unannotated
SISRS_contig-11844000006.fasta	unannotated
SISRS_contig-15432000002.fasta	unannotated
SISRS_contig-18118000003.fasta	unannotated
SISRS_contig-13000017.fasta	unannotated
SISRS_contig-16445000005.fasta	unannotated
SISRS_contig-10858000017.fasta	unannotated
SISRS_contig-14733000019.fasta	unannotated
SISRS_contig-11043000016.fasta	unannotated
SISRS_contig-4371000004.fasta	unannotated
SISRS_contig-17827000017.fasta	unannotated
SISRS_contig-17346000004.fasta	unannotated
SISRS_contig-11752000001.fasta	unannotated
SISRS_contig-12921000017.fasta	unannotated
SISRS_contig-8815000003.fasta	unannotated
SISRS_contig-12148000007.fasta	unannotated
SISRS_contig-13051000007.fasta	unannotated
SISRS_contig-5730000002.fasta	unannotated
SISRS_contig-12063000010.fasta	unannotated
SISRS_contig-14094000009.fasta	unannotated
SISRS_contig-9384000005.fasta	unannotated
SISRS_contig-12592000000.fasta	unannotated
SISRS_contig-15275000008.fasta	unannotated
SISRS_contig-17082000009.fasta	unannotated
SISRS_contig-7127000013.fasta	unannotated
SISRS_contig-1407000011.fasta	unannotated
SISRS_contig-6774000000.fasta	unannotated
SISRS_contig-18006000006.fasta	unannotated
SISRS_contig-11223000007.fasta	unannotated
SISRS_contig-11024000001.fasta	unannotated
SISRS_contig-5654000011.fasta	unannotated
SISRS_contig-8009000013.fasta	unannotated
SISRS_contig-12496000016.fasta	unannotated
SISRS_contig-11667000012.fasta	unannotated
SISRS_contig-15405000016.fasta	unannotated
SISRS_contig-14577000014.fasta	unannotated
SISRS_contig-4609000001.fasta	unannotated
SISRS_contig-2842000000.fasta	unannotated
SISRS_contig-7541000016.fasta	unannotated
SISRS_contig-9825000008.fasta	unannotated
SISRS_contig-8146000002.fasta	unannotated
SISRS_contig-14737000016.fasta	unannotated
SISRS_contig-6500000012.fasta	unannotated
SISRS_contig-10404000016.fasta	unannotated
SISRS_contig-16155000016.fasta	unannotated
SISRS_contig-12844000014.fasta	unannotated
SISRS_contig-8868000008.fasta	unannotated
SISRS_contig-10685000004.fasta	unannotated
SISRS_contig-7322000015.fasta	unannotated
