Alignment_name	Locus_type
SISRS_contig-896000004.fasta	UTR
SISRS_contig-4749000010.fasta	UTR
SISRS_contig-6074000001.fasta	UTR
SISRS_contig-5890000003.fasta	UTR
SISRS_contig-16598000008.fasta	UTR
SISRS_contig-5181000013.fasta	UTR
SISRS_contig-12618000002.fasta	UTR
SISRS_contig-10188000012.fasta	UTR
SISRS_contig-3245000017.fasta	UTR
SISRS_contig-13787000015.fasta	UTR
SISRS_contig-9952000014.fasta	UTR
SISRS_contig-7755000012.fasta	UTR
SISRS_contig-2195000003.fasta	UTR
SISRS_contig-188000008.fasta	UTR
SISRS_contig-3675000015.fasta	UTR
SISRS_contig-2448000018.fasta	UTR
SISRS_contig-2977000019.fasta	UTR
SISRS_contig-9943000005.fasta	UTR
SISRS_contig-6255000017.fasta	UTR
SISRS_contig-1470000017.fasta	UTR
SISRS_contig-9500000001.fasta	UTR
SISRS_contig-12593000008.fasta	UTR
SISRS_contig-3039000013.fasta	UTR
SISRS_contig-17103000006.fasta	UTR
SISRS_contig-4786000014.fasta	UTR
SISRS_contig-1371000004.fasta	UTR
SISRS_contig-11295000012.fasta	UTR
SISRS_contig-470000001.fasta	UTR
SISRS_contig-11128000011.fasta	UTR
SISRS_contig-4300000001.fasta	UTR
SISRS_contig-7746000002.fasta	UTR
SISRS_contig-15017000002.fasta	UTR
SISRS_contig-3027000007.fasta	UTR
SISRS_contig-17092000001.fasta	UTR
SISRS_contig-9571000015.fasta	UTR
SISRS_contig-8965000009.fasta	UTR
SISRS_contig-7827000016.fasta	UTR
SISRS_contig-14478000006.fasta	UTR
SISRS_contig-17680000012.fasta	UTR
SISRS_contig-5815000004.fasta	UTR
SISRS_contig-1383000008.fasta	UTR
SISRS_contig-16815000010.fasta	UTR
SISRS_contig-291000009.fasta	UTR
SISRS_contig-1535000017.fasta	UTR
SISRS_contig-17272000000.fasta	UTR
SISRS_contig-10477000003.fasta	UTR
SISRS_contig-2902000008.fasta	UTR
SISRS_contig-6850000009.fasta	UTR
SISRS_contig-15582000013.fasta	UTR
SISRS_contig-7571000013.fasta	UTR
SISRS_contig-17098000003.fasta	UTR
SISRS_contig-16433000010.fasta	UTR
SISRS_contig-5070000000.fasta	UTR
SISRS_contig-12586000005.fasta	UTR
SISRS_contig-3215000006.fasta	UTR
SISRS_contig-2599000001.fasta	UTR
SISRS_contig-1292000006.fasta	UTR
SISRS_contig-3492000013.fasta	UTR
SISRS_contig-1431000008.fasta	UTR
SISRS_contig-3749000005.fasta	UTR
SISRS_contig-8741000011.fasta	UTR
SISRS_contig-11287000018.fasta	UTR
SISRS_contig-14036000013.fasta	UTR
SISRS_contig-8090000012.fasta	UTR
SISRS_contig-3799000000.fasta	UTR
SISRS_contig-7915000019.fasta	UTR
SISRS_contig-4321000015.fasta	UTR
SISRS_contig-12137000010.fasta	UTR
SISRS_contig-3368000011.fasta	UTR
SISRS_contig-14049000012.fasta	UTR
SISRS_contig-12344000017.fasta	UTR
SISRS_contig-15135000002.fasta	UTR
SISRS_contig-12761000002.fasta	UTR
SISRS_contig-8332000008.fasta	UTR
SISRS_contig-6990000006.fasta	UTR
SISRS_contig-5789000006.fasta	UTR
SISRS_contig-10231000006.fasta	UTR
SISRS_contig-16421000016.fasta	UTR
SISRS_contig-5758000004.fasta	UTR
