Alignment_name	Locus_type
SISRS_contig-17512000013.fasta	other
SISRS_contig-13195000017.fasta	other
SISRS_contig-7670000000.fasta	other
SISRS_contig-13767000009.fasta	other
SISRS_contig-5161000013.fasta	other
SISRS_contig-15139000017.fasta	other
SISRS_contig-476000012.fasta	other
SISRS_contig-16764000011.fasta	other
SISRS_contig-15716000003.fasta	other
SISRS_contig-949000009.fasta	other
SISRS_contig-5207000015.fasta	other
SISRS_contig-15786000001.fasta	other
SISRS_contig-17889000011.fasta	other
SISRS_contig-1995000011.fasta	other
SISRS_contig-5947000002.fasta	other
SISRS_contig-4873000015.fasta	other
SISRS_contig-15037000011.fasta	other
SISRS_contig-11271000007.fasta	other
SISRS_contig-14086000009.fasta	other
SISRS_contig-240000018.fasta	other
SISRS_contig-13932000000.fasta	other
SISRS_contig-17768000019.fasta	other
SISRS_contig-13702000001.fasta	other
SISRS_contig-2054000018.fasta	other
SISRS_contig-11531000012.fasta	other
SISRS_contig-545000007.fasta	other
SISRS_contig-7718000013.fasta	other
SISRS_contig-7194000013.fasta	other
SISRS_contig-9748000019.fasta	other
SISRS_contig-3889000019.fasta	other
SISRS_contig-17025000016.fasta	other
SISRS_contig-16046000010.fasta	other
SISRS_contig-14800000001.fasta	other
SISRS_contig-3502000016.fasta	other
SISRS_contig-4281000003.fasta	other
SISRS_contig-8321000000.fasta	other
SISRS_contig-13135000011.fasta	other
SISRS_contig-8899000004.fasta	other
SISRS_contig-15425000014.fasta	other
SISRS_contig-9964000019.fasta	other
SISRS_contig-16231000000.fasta	other
SISRS_contig-45000019.fasta	other
SISRS_contig-16399000015.fasta	other
SISRS_contig-8739000014.fasta	other
SISRS_contig-13079000006.fasta	other
SISRS_contig-4756000004.fasta	other
SISRS_contig-6777000005.fasta	other
SISRS_contig-8103000018.fasta	other
SISRS_contig-872000006.fasta	other
SISRS_contig-10509000004.fasta	other
SISRS_contig-8081000001.fasta	other
SISRS_contig-5682000006.fasta	other
SISRS_contig-8255000016.fasta	other
SISRS_contig-8354000000.fasta	other
SISRS_contig-10404000018.fasta	other
SISRS_contig-14213000000.fasta	other
SISRS_contig-754000014.fasta	other
SISRS_contig-13670000017.fasta	other
SISRS_contig-5463000013.fasta	other
SISRS_contig-2777000004.fasta	other
SISRS_contig-2264000015.fasta	other
SISRS_contig-2484000013.fasta	other
SISRS_contig-11804000017.fasta	other
SISRS_contig-12841000018.fasta	other
SISRS_contig-3146000016.fasta	other
SISRS_contig-1883000017.fasta	other
SISRS_contig-6618000002.fasta	other
SISRS_contig-5033000004.fasta	other
SISRS_contig-1668000005.fasta	other
SISRS_contig-1160000018.fasta	other
SISRS_contig-5961000008.fasta	other
SISRS_contig-12809000012.fasta	other
SISRS_contig-3335000011.fasta	other
SISRS_contig-11765000005.fasta	other
SISRS_contig-15065000015.fasta	other
SISRS_contig-10804000000.fasta	other
SISRS_contig-8282000015.fasta	other
SISRS_contig-11974000016.fasta	other
SISRS_contig-9270000014.fasta	other
SISRS_contig-1123000001.fasta	other
SISRS_contig-17700000003.fasta	other
SISRS_contig-5285000019.fasta	other
SISRS_contig-1246000017.fasta	other
SISRS_contig-9845000019.fasta	other
SISRS_contig-1816000006.fasta	other
SISRS_contig-11985000011.fasta	other
SISRS_contig-3810000005.fasta	other
SISRS_contig-133000007.fasta	other
SISRS_contig-9711000013.fasta	other
SISRS_contig-4064000017.fasta	other
SISRS_contig-3437000005.fasta	other
SISRS_contig-3605000017.fasta	other
SISRS_contig-8219000009.fasta	other
SISRS_contig-10490000019.fasta	other
SISRS_contig-1325000008.fasta	other
